FECHA,HORA,CO,NO,NO2,NOX,O3,PM10,PM25
01/01/2022,1,-99,11,55,67,5,83,68
01/01/2022,2,-99,1,26,27,25,82,69
01/01/2022,3,-99,17,44,61,4,125,108
01/01/2022,4,-99,15,42,57,7,121,107
01/01/2022,5,-99,1,26,27,22,66,57
01/01/2022,6,-99,2,28,30,17,55,47
01/01/2022,7,-99,1,17,18,22,40,32
01/01/2022,8,-99,1,17,19,20,33,27
01/01/2022,9,-99,4,20,23,23,46,36
01/01/2022,10,-99,7,33,39,31,76,64
01/01/2022,11,-99,3,32,35,56,99,84
01/01/2022,12,-99,1,24,25,80,96,80
01/01/2022,13,-99,1,19,19,95,86,70
01/01/2022,14,-99,1,21,22,111,93,77
01/01/2022,15,-99,0,19,19,116,79,63
01/01/2022,16,-99,1,14,15,103,59,45
01/01/2022,17,-99,0,11,11,91,44,32
01/01/2022,18,-99,1,11,11,79,31,21
01/01/2022,19,-99,1,22,23,63,56,38
01/01/2022,20,-99,1,20,21,55,48,32
01/01/2022,21,-99,1,22,23,38,39,27
01/01/2022,22,-99,1,19,19,23,28,18
01/01/2022,23,-99,1,16,16,14,21,14
01/01/2022,24,-99,1,8,9,18,10,5
02/01/2022,1,-99,0,7,7,19,12,8
02/01/2022,2,-99,0,6,6,17,7,4
02/01/2022,3,-99,2,17,20,5,12,7
02/01/2022,4,-99,4,18,22,3,10,6
02/01/2022,5,-99,1,6,7,14,4,2
02/01/2022,6,-99,3,11,14,7,-99,-99
02/01/2022,7,-99,22,18,40,1,5,1
02/01/2022,8,-99,10,17,28,3,5,1
02/01/2022,9,-99,19,23,42,7,17,10
02/01/2022,10,-99,12,27,39,18,20,13
02/01/2022,11,-99,6,22,28,32,23,16
02/01/2022,12,-99,4,20,24,41,26,19
02/01/2022,13,-99,2,15,18,45,26,18
02/01/2022,14,-99,1,11,12,49,22,14
02/01/2022,15,-99,1,11,12,62,33,21
02/01/2022,16,-99,1,7,8,59,34,15
02/01/2022,17,-99,1,7,8,50,39,8
02/01/2022,18,-99,1,9,10,35,88,19
02/01/2022,19,-99,1,13,14,23,225,33
02/01/2022,20,-99,1,15,15,19,64,22
02/01/2022,21,-99,1,15,16,17,40,18
02/01/2022,22,-99,1,12,13,17,21,10
02/01/2022,23,-99,1,16,17,12,20,11
02/01/2022,24,-99,1,18,19,11,28,16
03/01/2022,1,-99,-99,-99,-99,-99,23,15
03/01/2022,2,-99,-99,-99,-99,-99,23,17
03/01/2022,3,-99,-99,-99,-99,-99,27,20
03/01/2022,4,-99,1,18,19,10,29,21
03/01/2022,5,-99,1,15,16,12,34,26
03/01/2022,6,-99,1,16,17,10,24,18
03/01/2022,7,-99,1,23,24,5,24,16
03/01/2022,8,-99,9,28,37,1,33,24
03/01/2022,9,-99,7,24,31,5,41,28
03/01/2022,10,-99,11,23,34,8,45,28
03/01/2022,11,-99,13,22,35,14,58,36
03/01/2022,12,-99,9,25,34,24,61,36
03/01/2022,13,-99,7,30,37,36,74,45
03/01/2022,14,-99,5,35,40,50,83,49
03/01/2022,15,-99,3,33,36,64,83,46
03/01/2022,16,-99,2,29,30,73,77,44
03/01/2022,17,-99,1,33,35,67,76,43
03/01/2022,18,-99,1,35,36,68,87,46
03/01/2022,19,-99,1,45,46,45,78,45
03/01/2022,20,-99,1,52,53,22,77,46
03/01/2022,21,-99,1,49,50,19,69,42
03/01/2022,22,-99,2,46,48,15,64,40
03/01/2022,23,-99,1,34,35,18,56,38
03/01/2022,24,-99,1,24,25,21,54,39
04/01/2022,1,-99,1,14,15,27,42,31
04/01/2022,2,-99,1,11,12,26,34,25
04/01/2022,3,-99,1,11,12,24,34,24
04/01/2022,4,-99,1,9,10,26,34,25
04/01/2022,5,-99,1,10,10,22,25,18
04/01/2022,6,-99,2,16,18,16,28,21
04/01/2022,7,-99,1,19,20,13,23,16
04/01/2022,8,-99,27,30,58,4,26,16
04/01/2022,9,-99,47,39,86,5,46,27
04/01/2022,10,-99,41,56,97,9,77,46
04/01/2022,11,-99,21,58,79,22,67,42
04/01/2022,12,-99,7,38,46,41,49,30
04/01/2022,13,-99,5,41,47,52,52,34
04/01/2022,14,-99,4,36,39,61,46,30
04/01/2022,15,-99,2,29,31,70,44,30
04/01/2022,16,-99,2,28,30,71,43,29
04/01/2022,17,-99,1,23,24,77,36,24
04/01/2022,18,-99,1,24,25,79,42,29
04/01/2022,19,-99,1,42,43,45,50,28
04/01/2022,20,-99,1,39,40,46,46,29
04/01/2022,21,-99,1,47,49,33,47,32
04/01/2022,22,-99,2,48,49,27,48,33
04/01/2022,23,-99,1,49,50,17,45,29
04/01/2022,24,-99,1,31,32,22,41,27
05/01/2022,1,-99,1,20,20,28,30,18
05/01/2022,2,-99,1,12,13,32,25,15
05/01/2022,3,-99,0,12,12,29,24,16
05/01/2022,4,-99,1,10,11,32,21,13
05/01/2022,5,-99,1,16,16,24,25,17
05/01/2022,6,-99,3,19,22,16,20,11
05/01/2022,7,-99,26,33,59,3,35,20
05/01/2022,8,-99,47,37,84,1,35,18
05/01/2022,9,-99,52,46,98,3,46,27
05/01/2022,10,-99,63,62,125,6,63,35
05/01/2022,11,-99,16,44,60,28,64,32
05/01/2022,12,-99,4,25,29,54,53,27
05/01/2022,13,-99,1,8,9,58,26,13
05/01/2022,14,-99,1,9,10,59,20,10
05/01/2022,15,-99,1,10,11,66,20,10
05/01/2022,16,-99,1,11,12,76,30,19
05/01/2022,17,-99,1,14,14,84,25,14
05/01/2022,18,-99,1,23,24,62,42,24
05/01/2022,19,-99,1,31,32,44,31,12
05/01/2022,20,-99,1,40,41,32,37,20
05/01/2022,21,-99,10,68,78,5,50,26
05/01/2022,22,-99,4,50,54,11,46,27
05/01/2022,23,-99,11,56,67,1,43,25
05/01/2022,24,-99,1,28,29,17,30,18
06/01/2022,1,-99,1,27,29,12,29,19
06/01/2022,2,-99,1,21,22,18,25,17
06/01/2022,3,-99,1,11,12,29,24,15
06/01/2022,4,-99,1,8,8,32,21,13
06/01/2022,5,-99,2,20,21,15,23,15
06/01/2022,6,-99,13,35,48,2,26,16
06/01/2022,7,-99,22,34,56,1,36,23
06/01/2022,8,-99,50,37,87,0,43,27
06/01/2022,9,-99,57,43,100,2,48,28
06/01/2022,10,-99,23,44,67,14,51,31
06/01/2022,11,-99,17,58,74,26,65,38
06/01/2022,12,-99,3,20,23,51,46,24
06/01/2022,13,-99,1,11,12,66,40,21
06/01/2022,14,-99,1,11,12,75,34,19
06/01/2022,15,-99,1,11,11,70,50,22
06/01/2022,16,-99,0,10,10,63,39,20
06/01/2022,17,-99,1,13,13,58,41,22
06/01/2022,18,-99,0,14,14,54,40,18
06/01/2022,19,-99,1,15,15,32,56,13
06/01/2022,20,-99,1,11,12,23,29,4
06/01/2022,21,-99,1,12,12,23,9,3
06/01/2022,22,-99,1,12,13,19,9,4
06/01/2022,23,-99,1,13,14,15,9,5
06/01/2022,24,-99,1,15,16,15,11,7
07/01/2022,1,-99,1,13,13,16,10,6
07/01/2022,2,-99,1,14,14,14,9,5
07/01/2022,3,-99,0,8,8,19,11,6
07/01/2022,4,-99,1,10,10,17,13,8
07/01/2022,5,-99,1,12,13,12,13,8
07/01/2022,6,-99,1,11,12,15,13,8
07/01/2022,7,-99,10,21,31,5,35,13
07/01/2022,8,-99,39,27,67,0,25,9
07/01/2022,9,-99,38,32,69,3,24,8
07/01/2022,10,-99,27,42,69,11,29,15
07/01/2022,11,-99,14,38,52,24,36,20
07/01/2022,12,-99,7,38,45,34,46,27
07/01/2022,13,-99,5,39,44,48,48,30
07/01/2022,14,-99,2,29,31,51,40,25
07/01/2022,15,-99,2,23,25,44,31,18
07/01/2022,16,-99,1,17,18,36,25,13
07/01/2022,17,-99,2,28,30,23,36,16
07/01/2022,18,-99,5,42,47,12,39,17
07/01/2022,19,-99,2,16,18,27,55,11
07/01/2022,20,-99,1,13,14,24,20,5
07/01/2022,21,-99,1,18,19,17,13,7
07/01/2022,22,-99,4,33,37,4,15,7
07/01/2022,23,-99,4,30,33,7,19,12
07/01/2022,24,-99,1,17,18,17,14,9
08/01/2022,1,-99,1,11,11,23,14,9
08/01/2022,2,-99,1,21,22,12,16,11
08/01/2022,3,-99,6,31,37,3,17,10
08/01/2022,4,-99,3,27,30,6,23,17
08/01/2022,5,-99,2,20,22,11,13,9
08/01/2022,6,-99,1,13,14,16,12,8
08/01/2022,7,-99,1,16,17,18,15,9
08/01/2022,8,-99,4,25,29,11,19,11
08/01/2022,9,-99,9,29,37,15,29,18
08/01/2022,10,-99,12,33,45,21,38,25
08/01/2022,11,-99,7,31,39,35,44,29
08/01/2022,12,-99,5,28,33,42,35,23
08/01/2022,13,-99,2,16,18,51,27,17
08/01/2022,14,-99,2,15,16,58,28,17
08/01/2022,15,-99,1,14,15,67,28,18
08/01/2022,16,-99,0,15,15,69,31,21
08/01/2022,17,-99,0,17,18,60,31,19
08/01/2022,18,-99,0,9,9,36,17,7
08/01/2022,19,-99,1,12,13,32,14,8
08/01/2022,20,-99,1,29,30,16,21,14
08/01/2022,21,-99,1,23,24,28,34,13
08/01/2022,22,-99,1,17,17,34,23,15
08/01/2022,23,-99,1,15,16,32,15,9
08/01/2022,24,-99,1,17,18,28,15,11
09/01/2022,1,-99,-99,-99,-99,-99,14,10
09/01/2022,2,-99,-99,-99,-99,-99,13,9
09/01/2022,3,-99,-99,-99,-99,-99,17,14
09/01/2022,4,-99,1,13,13,22,9,6
09/01/2022,5,-99,1,24,25,9,21,15
09/01/2022,6,-99,3,27,30,3,24,18
09/01/2022,7,-99,2,19,20,13,18,14
09/01/2022,8,-99,6,23,29,8,19,15
09/01/2022,9,-99,9,24,33,12,16,10
09/01/2022,10,-99,8,24,32,21,21,15
09/01/2022,11,-99,5,24,29,34,27,21
09/01/2022,12,-99,3,20,23,46,33,26
09/01/2022,13,-99,2,14,16,54,23,17
09/01/2022,14,-99,1,10,11,57,18,13
09/01/2022,15,-99,1,12,13,73,30,22
09/01/2022,16,-99,0,9,9,64,21,15
09/01/2022,17,-99,1,10,10,60,29,20
09/01/2022,18,-99,1,11,11,49,28,17
09/01/2022,19,-99,1,17,17,47,24,13
09/01/2022,20,-99,0,12,12,28,24,7
09/01/2022,21,-99,1,14,15,25,15,6
09/01/2022,22,-99,1,26,27,13,18,9
09/01/2022,23,-99,3,31,35,6,17,8
09/01/2022,24,-99,1,18,18,19,17,10
10/01/2022,1,-99,0,11,11,27,12,7
10/01/2022,2,-99,0,9,9,30,11,6
10/01/2022,3,-99,0,8,9,31,9,5
10/01/2022,4,-99,1,12,12,23,11,7
10/01/2022,5,-99,1,10,10,23,7,4
10/01/2022,6,-99,0,12,12,24,17,12
10/01/2022,7,-99,1,18,20,22,20,14
10/01/2022,8,-99,1,20,21,23,22,16
10/01/2022,9,-99,2,16,18,27,22,16
10/01/2022,10,-99,2,13,15,32,20,14
10/01/2022,11,-99,3,14,17,32,-99,-99
10/01/2022,12,-99,-99,-99,-99,-99,-99,-99
10/01/2022,13,-99,-99,-99,-99,-99,-99,-99
10/01/2022,14,-99,-99,-99,-99,-99,-99,-99
10/01/2022,15,-99,2,13,15,49,33,22
10/01/2022,16,-99,2,13,15,39,42,20
10/01/2022,17,-99,2,10,12,27,29,6
10/01/2022,18,-99,2,13,16,19,32,5
10/01/2022,19,-99,2,13,14,15,23,6
10/01/2022,20,-99,2,15,16,12,12,2
10/01/2022,21,-99,1,14,15,13,10,3
10/01/2022,22,-99,2,17,18,10,12,4
10/01/2022,23,-99,1,12,13,14,10,4
10/01/2022,24,-99,1,10,10,15,6,2
11/01/2022,1,-99,1,8,9,16,5,2
11/01/2022,2,0.13,1,6,6,17,7,5
11/01/2022,3,0.14,1,5,5,18,-99,-99
11/01/2022,4,0.07,1,4,5,18,3,2
11/01/2022,5,0.08,0,6,6,17,3,2
11/01/2022,6,0.1,1,8,9,15,6,4
11/01/2022,7,0.14,1,12,13,12,11,7
11/01/2022,8,0.18,5,17,22,9,13,8
11/01/2022,9,0.33,8,19,27,8,11,5
11/01/2022,10,0.31,8,16,23,12,13,6
11/01/2022,11,0.29,7,16,23,12,13,5
11/01/2022,12,0.32,10,17,27,13,20,11
11/01/2022,13,0.25,8,14,22,20,19,10
11/01/2022,14,0.26,7,17,23,22,25,13
11/01/2022,15,0.25,5,15,20,30,26,17
11/01/2022,16,0.31,4,18,22,35,29,18
11/01/2022,17,0.31,4,24,29,29,37,21
11/01/2022,18,0.36,2,26,28,30,38,22
11/01/2022,19,0.57,5,39,44,15,38,19
11/01/2022,20,0.79,7,47,54,3,42,24
11/01/2022,21,0.54,4,35,39,6,42,21
11/01/2022,22,0.31,1,22,23,11,28,12
11/01/2022,23,0.25,1,18,19,11,19,9
11/01/2022,24,0.25,2,23,24,6,18,9
12/01/2022,1,0.29,3,23,26,4,19,10
12/01/2022,2,0.29,2,20,22,5,22,15
12/01/2022,3,0.33,2,20,23,2,21,15
12/01/2022,4,0.22,2,15,18,5,18,14
12/01/2022,5,0.19,2,13,15,5,15,11
12/01/2022,6,0.39,4,18,22,1,21,17
12/01/2022,7,0.58,30,20,50,1,21,14
12/01/2022,8,0.69,47,19,66,0,25,15
12/01/2022,9,0.67,40,24,65,4,30,19
12/01/2022,10,0.56,20,24,44,11,34,23
12/01/2022,11,0.68,23,36,59,16,48,27
12/01/2022,12,0.72,15,41,56,30,53,34
12/01/2022,13,0.58,6,32,38,46,47,32
12/01/2022,14,0.41,5,27,32,45,33,21
12/01/2022,15,0.28,4,22,26,46,38,26
12/01/2022,16,0.22,2,17,19,53,40,23
12/01/2022,17,0.17,1,16,17,54,38,21
12/01/2022,18,0.23,2,19,21,42,39,18
12/01/2022,19,0.26,1,24,26,29,36,16
12/01/2022,20,0.46,3,41,45,11,37,17
12/01/2022,21,0.64,10,49,59,3,41,19
12/01/2022,22,0.57,6,43,49,4,34,16
12/01/2022,23,0.45,4,36,40,8,30,15
12/01/2022,24,0.47,4,33,36,6,28,15
13/01/2022,1,0.33,2,26,28,8,23,14
13/01/2022,2,0.15,1,12,12,16,17,11
13/01/2022,3,0.09,0,8,8,18,11,8
13/01/2022,4,0.01,0,5,6,22,6,3
13/01/2022,5,0.1,1,13,14,13,4,2
13/01/2022,6,0.06,1,9,10,17,7,5
13/01/2022,7,0.46,19,22,41,4,17,9
13/01/2022,8,0.9,57,30,87,1,20,9
13/01/2022,9,0.57,33,30,63,6,27,15
13/01/2022,10,0.82,45,45,90,8,34,18
13/01/2022,11,0.95,38,60,98,14,53,33
13/01/2022,12,0.62,15,45,59,32,40,24
13/01/2022,13,0.32,5,27,31,49,37,24
13/01/2022,14,0.35,4,27,31,51,42,25
13/01/2022,15,0.19,2,16,18,53,33,18
13/01/2022,16,0.15,2,14,16,51,34,20
13/01/2022,17,0.22,2,17,19,42,42,25
13/01/2022,18,0.13,2,19,20,36,41,22
13/01/2022,19,0.29,2,30,32,26,38,19
13/01/2022,20,0.44,3,44,47,11,44,24
13/01/2022,21,0.53,4,44,48,8,39,20
13/01/2022,22,0.44,3,42,45,4,36,16
13/01/2022,23,0.55,4,37,40,5,33,18
13/01/2022,24,0.28,1,21,22,15,29,18
14/01/2022,1,0.21,1,16,17,18,23,15
14/01/2022,2,0.19,1,12,13,22,20,12
14/01/2022,3,0.13,1,11,12,22,22,15
14/01/2022,4,0.16,1,14,14,17,22,15
14/01/2022,5,0.13,1,11,12,18,20,14
14/01/2022,6,0.19,1,14,15,14,17,11
14/01/2022,7,0.36,4,22,26,7,21,13
14/01/2022,8,0.52,9,31,40,5,26,14
14/01/2022,9,0.72,24,34,58,7,34,18
14/01/2022,10,0.74,32,43,76,12,54,29
14/01/2022,11,0.69,16,39,56,26,59,30
14/01/2022,12,0.48,5,27,33,43,52,31
14/01/2022,13,-99,-99,-99,-99,-99,-99,-99
14/01/2022,14,0.56,4,41,45,64,66,42
14/01/2022,15,0.24,2,20,22,68,41,23
14/01/2022,16,0.04,1,10,11,60,21,8
14/01/2022,17,0.05,1,9,10,58,24,13
14/01/2022,18,0.07,1,13,14,52,19,9
14/01/2022,19,0.38,4,33,37,26,22,5
14/01/2022,20,0.33,1,27,28,27,28,11
14/01/2022,21,0.3,1,23,25,26,24,10
14/01/2022,22,0.3,1,23,24,25,26,12
14/01/2022,23,0.46,1,30,31,19,34,19
14/01/2022,24,0.6,6,38,43,8,29,16
15/01/2022,1,-99,-99,-99,-99,-99,27,16
15/01/2022,2,-99,-99,-99,-99,-99,27,16
15/01/2022,3,-99,-99,-99,-99,-99,23,14
15/01/2022,4,-99,-99,-99,-99,-99,20,13
15/01/2022,5,-99,-99,-99,-99,-99,28,18
15/01/2022,6,-99,-99,-99,-99,-99,23,13
15/01/2022,7,-99,-99,-99,-99,-99,19,10
15/01/2022,8,-99,-99,-99,-99,-99,28,14
15/01/2022,9,-99,-99,-99,-99,-99,32,17
15/01/2022,10,-99,-99,-99,-99,-99,27,14
15/01/2022,11,-99,-99,-99,-99,-99,38,23
15/01/2022,12,-99,-99,-99,-99,-99,-99,-99
15/01/2022,13,-99,-99,-99,-99,-99,-99,-99
15/01/2022,14,-99,-99,-99,-99,-99,-99,-99
15/01/2022,15,-99,-99,-99,-99,-99,-99,-99
15/01/2022,16,-99,-99,-99,-99,-99,-99,-99
15/01/2022,17,-99,-99,-99,-99,-99,-99,-99
15/01/2022,18,0.11,1,11,12,40,-99,-99
15/01/2022,19,0.37,1,22,23,29,-99,-99
15/01/2022,20,0.52,2,36,37,11,-99,-99
15/01/2022,21,0.53,3,34,36,10,-99,-99
15/01/2022,22,0.76,12,45,57,2,-99,-99
15/01/2022,23,0.58,4,37,40,6,-99,-99
15/01/2022,24,0.41,1,26,28,10,-99,-99
16/01/2022,1,0.64,9,35,45,1,36,20
16/01/2022,2,0.52,6,33,39,3,30,17
16/01/2022,3,0.56,10,33,43,1,27,16
16/01/2022,4,0.59,16,32,48,1,29,17
16/01/2022,5,0.65,16,29,45,0,29,19
16/01/2022,6,0.67,18,27,45,0,24,15
16/01/2022,7,0.6,10,26,36,0,27,19
16/01/2022,8,0.73,23,26,49,1,31,20
16/01/2022,9,0.71,36,30,66,4,43,30
16/01/2022,10,0.62,24,33,57,11,50,37
16/01/2022,11,0.56,15,35,51,22,71,54
16/01/2022,12,0.64,10,37,47,32,97,78
16/01/2022,13,0.51,4,28,32,51,86,70
16/01/2022,14,0.57,3,30,33,66,90,73
16/01/2022,15,0.5,1,25,26,78,85,68
16/01/2022,16,0.4,0,15,16,74,67,48
16/01/2022,17,0.11,1,9,10,38,36,18
16/01/2022,18,0.36,2,20,22,18,20,13
16/01/2022,19,0.52,2,28,30,13,21,16
16/01/2022,20,0.68,3,31,34,6,29,25
16/01/2022,21,0.92,14,34,48,1,26,21
16/01/2022,22,0.63,5,31,35,7,22,18
16/01/2022,23,0.68,5,31,36,3,20,16
16/01/2022,24,0.34,2,20,21,11,16,14
17/01/2022,1,0.43,4,24,28,5,20,16
17/01/2022,2,0.56,3,30,33,3,26,20
17/01/2022,3,0.58,2,30,32,5,36,27
17/01/2022,4,0.59,2,28,30,3,32,23
17/01/2022,5,0.59,4,24,29,2,32,24
17/01/2022,6,0.4,7,18,25,3,22,17
17/01/2022,7,0.59,25,20,45,1,23,16
17/01/2022,8,0.98,57,20,77,0,30,18
17/01/2022,9,1.47,104,28,133,1,48,28
17/01/2022,10,0.95,44,43,87,8,49,33
17/01/2022,11,0.49,12,31,43,26,37,28
17/01/2022,12,0.44,7,27,34,37,37,26
17/01/2022,13,0.36,4,24,28,49,41,29
17/01/2022,14,0.29,3,20,23,59,43,30
17/01/2022,15,0.3,2,22,23,57,40,29
17/01/2022,16,0.27,2,20,22,52,33,22
17/01/2022,17,0.27,1,17,19,53,33,21
17/01/2022,18,0.25,1,21,22,51,32,21
17/01/2022,19,0.15,1,16,18,32,21,11
17/01/2022,20,0.08,1,13,14,34,14,8
17/01/2022,21,0.11,1,12,13,34,18,12
17/01/2022,22,0.1,1,12,12,33,14,11
17/01/2022,23,0.24,1,19,20,26,19,15
17/01/2022,24,0.24,1,18,19,26,24,17
18/01/2022,1,0.3,1,24,24,14,21,15
18/01/2022,2,0.29,1,24,25,10,21,16
18/01/2022,3,0.18,1,14,15,17,14,11
18/01/2022,4,0.12,1,13,14,16,16,13
18/01/2022,5,0.1,1,13,14,15,19,15
18/01/2022,6,0.24,7,17,24,8,19,14
18/01/2022,7,0.79,43,27,69,1,27,17
18/01/2022,8,0.91,49,31,79,1,23,12
18/01/2022,9,1.06,76,35,112,2,36,18
18/01/2022,10,1.01,56,46,102,6,39,20
18/01/2022,11,0.78,26,45,70,22,40,27
18/01/2022,12,0.37,5,24,29,42,34,24
18/01/2022,13,0.36,4,23,27,53,36,25
18/01/2022,14,0.32,3,24,26,61,38,26
18/01/2022,15,0.25,2,21,24,52,35,24
18/01/2022,16,0.31,2,24,26,65,43,31
18/01/2022,17,0.31,1,23,24,75,43,32
18/01/2022,18,0.3,1,22,23,56,42,27
18/01/2022,19,0.33,1,25,26,40,36,25
18/01/2022,20,0.39,1,27,28,31,31,21
18/01/2022,21,0.45,1,33,35,25,30,20
18/01/2022,22,0.49,1,32,33,19,34,24
18/01/2022,23,0.76,4,50,54,4,38,24
18/01/2022,24,0.45,1,30,31,17,31,20
19/01/2022,1,0.28,1,20,21,20,29,20
19/01/2022,2,0.22,1,20,21,18,27,18
19/01/2022,3,0.15,1,14,14,22,26,18
19/01/2022,4,0.07,1,10,10,24,20,13
19/01/2022,5,0.07,1,7,8,26,17,11
19/01/2022,6,0.19,2,19,21,12,24,16
19/01/2022,7,0.51,10,29,38,2,28,20
19/01/2022,8,0.66,42,32,74,2,31,18
19/01/2022,9,1.22,83,39,122,3,53,32
19/01/2022,10,0.94,35,49,84,10,47,29
19/01/2022,11,0.6,17,39,56,27,48,30
19/01/2022,12,0.38,6,26,32,43,37,23
19/01/2022,13,0.28,3,21,24,54,35,22
19/01/2022,14,0.25,2,18,20,68,39,27
19/01/2022,15,0.23,1,17,18,78,42,29
19/01/2022,16,0.22,1,15,16,80,46,32
19/01/2022,17,0.19,1,14,15,60,36,21
19/01/2022,18,0.18,1,14,15,48,28,15
19/01/2022,19,0.28,1,19,20,42,32,19
19/01/2022,20,0.4,1,24,25,35,33,21
19/01/2022,21,0.67,2,44,46,21,36,22
19/01/2022,22,0.47,1,34,35,26,36,24
19/01/2022,23,0.32,1,25,25,32,28,18
19/01/2022,24,0.31,1,27,27,24,31,21
20/01/2022,1,0.22,1,18,19,26,26,17
20/01/2022,2,0.13,1,13,13,27,22,15
20/01/2022,3,0.16,1,15,16,21,23,15
20/01/2022,4,0.16,1,18,19,16,25,17
20/01/2022,5,0.16,1,15,16,18,22,15
20/01/2022,6,0.12,1,8,9,27,22,15
20/01/2022,7,0.11,1,13,14,23,21,13
20/01/2022,8,0.2,5,19,24,19,23,13
20/01/2022,9,0.32,13,23,36,16,33,16
20/01/2022,10,0.81,39,47,86,10,44,23
20/01/2022,11,0.6,14,40,54,26,45,26
20/01/2022,12,0.19,3,16,19,43,31,19
20/01/2022,13,0.19,3,16,19,50,33,21
20/01/2022,14,0.16,1,14,15,61,29,18
20/01/2022,15,0.17,1,12,13,70,39,25
20/01/2022,16,0.12,1,10,10,65,40,22
20/01/2022,17,0.1,1,8,8,59,31,18
20/01/2022,18,0.12,0,9,9,56,32,18
20/01/2022,19,0.2,1,12,12,50,33,20
20/01/2022,20,0.22,0,13,14,45,30,19
20/01/2022,21,0.38,1,25,25,33,29,18
20/01/2022,22,0.44,1,31,32,21,29,19
20/01/2022,23,0.33,1,22,23,17,20,15
20/01/2022,24,0.38,2,25,26,12,23,17
21/01/2022,1,0.36,1,24,25,9,24,16
21/01/2022,2,0.34,2,25,27,6,25,17
21/01/2022,3,0.45,5,31,36,2,29,19
21/01/2022,4,0.37,3,29,32,3,27,17
21/01/2022,5,0.46,5,34,39,1,36,22
21/01/2022,6,0.5,8,34,42,0,38,23
21/01/2022,7,0.56,15,33,48,1,38,25
21/01/2022,8,0.53,16,35,51,1,24,17
21/01/2022,9,0.66,28,35,63,5,44,31
21/01/2022,10,0.49,13,31,44,16,37,26
21/01/2022,11,0.42,9,26,36,27,32,20
21/01/2022,12,0.13,2,11,13,38,18,10
21/01/2022,13,0.07,1,7,8,43,19,12
21/01/2022,14,0,1,4,5,40,21,11
21/01/2022,15,0,1,3,4,38,16,4
21/01/2022,16,0,1,3,4,38,16,10
21/01/2022,17,0.01,1,3,4,39,17,10
21/01/2022,18,0.02,1,5,6,40,16,10
21/01/2022,19,0.13,1,9,10,36,22,13
21/01/2022,20,0.19,1,14,15,32,25,17
21/01/2022,21,0.22,1,14,15,31,25,18
21/01/2022,22,0.25,1,15,16,26,20,15
21/01/2022,23,0.34,1,23,24,16,21,15
21/01/2022,24,0.34,1,25,26,14,22,16
22/01/2022,1,0.43,3,39,41,6,42,27
22/01/2022,2,0.39,2,37,39,6,45,31
22/01/2022,3,0.08,1,8,9,25,17,13
22/01/2022,4,0,0,3,4,28,7,4
22/01/2022,5,0,0,6,6,23,6,5
22/01/2022,6,0,0,5,6,23,9,8
22/01/2022,7,0.06,1,11,12,17,8,6
22/01/2022,8,0.17,4,17,21,10,9,6
22/01/2022,9,0.22,10,18,27,12,17,11
22/01/2022,10,0.03,3,8,12,26,5,4
22/01/2022,11,0.08,3,10,13,30,14,9
22/01/2022,12,0.11,2,10,12,41,16,10
22/01/2022,13,0.12,1,9,10,50,19,12
22/01/2022,14,0.11,1,8,8,55,20,13
22/01/2022,15,0.16,1,12,13,55,25,17
22/01/2022,16,0.17,1,11,12,56,24,16
22/01/2022,17,0.18,1,11,12,56,27,18
22/01/2022,18,0.19,1,10,11,50,25,16
22/01/2022,19,0.25,1,14,15,37,27,16
22/01/2022,20,0.36,1,21,22,23,25,15
22/01/2022,21,0.55,2,32,34,14,30,19
22/01/2022,22,0.67,7,40,46,5,34,21
22/01/2022,23,0.53,3,32,35,9,30,20
22/01/2022,24,0.46,1,23,24,13,28,20
23/01/2022,1,0.45,3,26,29,9,29,20
23/01/2022,2,0.29,1,19,20,15,25,18
23/01/2022,3,0.27,1,18,18,13,23,17
23/01/2022,4,0.26,1,16,17,12,23,16
23/01/2022,5,0.25,1,14,15,12,24,18
23/01/2022,6,0.39,7,26,33,1,32,23
23/01/2022,7,0.45,12,26,38,1,38,30
23/01/2022,8,0.62,22,25,47,1,37,28
23/01/2022,9,0.68,25,28,53,5,42,29
23/01/2022,10,0.74,18,31,49,15,47,34
23/01/2022,11,0.58,12,31,43,25,50,37
23/01/2022,12,0.49,6,27,34,40,54,40
23/01/2022,13,0.33,3,17,20,55,46,34
23/01/2022,14,0.36,1,15,16,72,47,36
23/01/2022,15,0.38,1,14,14,88,46,34
23/01/2022,16,0.33,1,11,11,84,43,30
23/01/2022,17,0.21,0,7,8,65,36,23
23/01/2022,18,0.15,1,6,7,49,23,13
23/01/2022,19,0.33,0,12,13,35,27,16
23/01/2022,20,0.3,1,17,18,18,20,12
23/01/2022,21,0.38,1,21,22,19,24,10
23/01/2022,22,0.46,1,26,27,16,26,13
23/01/2022,23,0.31,1,21,22,16,19,10
23/01/2022,24,0.29,1,17,18,15,13,7
24/01/2022,1,0.19,1,11,12,18,13,7
24/01/2022,2,0.1,0,9,9,18,10,6
24/01/2022,3,0.08,1,12,13,10,7,5
24/01/2022,4,0.12,1,11,12,11,11,8
24/01/2022,5,0.13,1,13,13,13,12,8
24/01/2022,6,0.17,1,15,17,12,16,12
24/01/2022,7,0.31,5,25,30,4,21,14
24/01/2022,8,0.63,24,30,54,2,25,16
24/01/2022,9,0.77,41,31,72,6,27,15
24/01/2022,10,0.38,10,22,32,20,24,15
24/01/2022,11,0.33,5,15,20,31,24,16
