"CO","NO","NO2","NOX","O3","PM10","PM25"
0.22,0,9,10,19,12,6
0.19,0,7,7,113,25,19
0.08,0,11,11,11,11,8
0.47,7,29,36,43,33,25
0.48,12,27,38,27,36,24
0.33,2,15,17,61,18,14
0.37,1,23,24,37,37,19
0.42,1,19,19,116,99,59
0.78,16,30,46,2,21,13
0.26,1,12,14,43,42,29
0.34,2,22,24,2,20,16
0.3,2,16,18,8,21,15
0.33,1,20,21,25,33,20
0.31,1,17,17,56,40,33
0.05,1,7,8,93,48,26
0.59,1,31,31,53,42,28
0.37,4,28,33,4,18,11
0.01,0,7,7,23,21,14
0.33,10,16,26,16,29,14
0.09,1,8,9,33,8,3
0.28,2,21,23,41,58,46
0.13,1,5,5,40,31,22
0.12,1,13,14,30,23,5
0.67,29,39,67,4,61,33
0.3,1,17,18,18,20,12
0.23,2,10,12,40,21,14
0.64,2,38,40,61,64,43
0.23,1,17,18,22,32,18
0.19,2,11,13,12,19,14
0.26,2,19,21,55,32,24
0.35,2,24,26,44,49,42
0,0,3,3,19,9,5
0.6,6,36,42,52,52,34
0.45,10,32,42,1,36,21
0.15,0,11,11,14,17,14
0.25,1,15,16,72,42,22
0.98,7,54,61,4,43,28
0.22,1,13,14,31,13,2
0.38,12,25,37,1,33,23
0.01,1,7,7,23,15,8
0.08,1,8,9,82,38,19
0.45,2,32,34,10,27,20
0.76,6,43,49,48,69,43
0.07,1,8,9,34,23,10
0.41,4,27,31,69,34,18
0.24,1,13,14,47,28,24
0.94,35,49,84,10,47,29
0.19,1,11,12,89,40,19
0.28,2,13,15,57,22,16
0.68,7,27,34,38,49,32
0.41,6,20,26,40,34,26
0.08,0,9,9,14,19,17
0.11,1,5,6,32,23,12
0.08,1,9,9,75,32,22
0.23,2,10,12,44,15,4
0.21,2,15,16,22,19,11
0.25,7,18,26,1,16,11
0.04,1,5,6,28,3,1
0.49,26,19,45,1,20,15
0.41,2,29,31,83,69,46
0.39,1,28,29,8,34,21
0.71,7,36,43,2,30,19
0.28,1,13,15,60,31,22
0.64,2,36,38,9,50,34
0.48,31,38,69,14,27,13
0.48,1,28,29,31,52,29
0.22,1,7,8,51,20,9
0.53,0,28,28,115,68,45
0.7,1,34,36,17,41,29
0.26,4,21,24,6,25,16
0.7,22,39,60,23,72,48
0.04,1,6,7,37,24,5
0.17,1,7,7,25,16,12
0.5,8,34,42,0,38,23
0.23,10,16,26,15,18,12
0.06,1,7,8,58,26,16
0.82,14,36,51,1,33,21
0.16,1,15,16,21,16,13
0.16,1,13,14,59,47,27
0.12,1,6,6,80,33,19
0.12,1,10,11,66,37,17
0.69,47,19,66,0,25,15
0.14,0,10,10,28,16,6
0.19,2,10,11,56,31,23
0.07,1,10,11,21,22,16
0.11,0,9,9,15,19,17
0.19,1,13,14,44,26,18
0.17,1,11,12,37,16,7
1.01,40,54,94,12,66,35
0.3,1,17,19,12,15,8
0.15,2,19,21,22,33,19
0.1,1,11,12,27,28,10
0.21,0,8,8,26,15,9
0.05,1,7,8,69,32,13
0.24,1,21,22,5,27,18
0.48,3,17,20,7,32,27
0.22,1,11,12,39,33,15
0.35,1,19,20,20,25,16
0.26,2,8,10,38,12,5
0.25,3,16,19,9,12,7
0.02,1,4,4,67,19,8
0.21,1,10,11,110,32,23
0.11,1,7,7,6,10,6
0.23,1,11,12,28,22,15
0.31,1,13,14,114,66,47
0.13,1,12,13,23,23,4
0.55,10,29,39,27,44,23
0.12,1,8,9,51,45,15
0.22,4,16,19,18,35,30
0.26,3,18,21,7,8,4
0.14,1,9,10,49,31,13
0.25,1,14,15,12,24,18
0.06,1,17,18,19,38,20
0.26,1,12,13,41,30,12
0.56,17,31,48,2,29,16
0.28,1,15,16,31,41,28
0.34,1,19,20,20,32,15
0.48,32,21,53,4,20,9
0.17,1,11,12,32,13,8
0.34,1,16,17,28,31,19
0.18,2,17,19,76,45,22
0.17,0,14,14,28,41,41
0.22,1,11,13,54,28,17
0.31,1,21,22,16,19,10
0.26,4,14,18,37,24,16
0.36,1,18,19,110,43,30
0.35,3,27,29,66,55,39
0.25,1,10,11,50,39,13
0.12,1,16,16,20,48,35
0.29,3,15,19,40,34,20
0.22,2,16,17,46,29,22
0.01,1,3,4,39,17,10
0.12,1,13,13,29,36,21
0.03,3,8,12,26,5,4
0.17,4,17,21,6,22,17
0.21,1,16,17,19,126,15
1.47,104,28,133,1,48,28
0.19,1,11,12,59,35,19
0.18,1,10,11,52,17,12
0.25,1,14,14,26,14,6
0.86,36,29,65,1,48,37
0.38,2,23,25,5,46,40
0.15,1,9,10,14,12,7
0.19,4,21,25,2,16,11
0.37,4,22,26,63,27,14
0.11,2,14,15,79,48,26
0.06,1,12,13,25,27,9
0.14,2,23,25,6,21,9
0.3,3,20,23,57,49,32
0.21,1,19,21,13,17,9
0.16,1,9,10,123,51,33
0.58,2,32,35,81,83,54
0.44,7,27,34,37,37,26
0.54,15,23,38,1,61,50
0.18,1,12,14,28,37,8
0.34,1,14,15,63,48,23
0.24,10,18,27,15,17,10
0.04,2,8,9,36,44,7
0.35,1,22,23,33,31,17
0.53,14,30,45,5,31,10
0.39,4,20,24,45,39,22
0.35,2,20,21,103,48,30
0.75,18,37,55,17,46,23
0.14,1,5,6,40,33,8
0.25,2,13,15,59,43,31
0.29,1,17,18,18,14,10
0.29,1,17,18,19,29,19
0.1,1,8,9,15,6,4
0.04,0,7,8,28,20,13
0.2,2,16,18,9,13,8
0.23,0,7,7,33,18,12
0.17,1,9,9,32,21,11
0.25,4,21,25,12,28,17
0.29,1,19,20,97,48,31
0.31,4,23,27,7,28,19
0.11,1,12,13,34,18,12
0.24,1,22,23,54,36,14
0.07,1,8,9,45,41,12
0.66,9,34,43,8,37,22
0.03,1,2,2,31,14,5
0.15,1,4,5,40,55,13
0.4,4,26,30,52,54,29
0.29,1,21,22,14,27,16
0.24,1,19,20,38,24,11
0.18,1,9,10,49,32,11
0.29,3,29,31,10,10,7
0.93,56,32,88,2,37,17
0.12,1,8,9,27,22,15
0.1,1,13,14,7,18,9
0.34,3,20,23,80,41,25
0.44,13,24,37,19,35,22
0.14,1,8,8,19,19,12
0.29,2,18,20,43,19,9
0.12,1,8,9,18,9,5
0.19,4,15,18,7,13,11
0.42,16,21,37,11,24,16
0.32,1,19,20,8,31,22
0.19,0,10,11,25,26,15
0.62,22,25,47,1,37,28
0.22,1,20,21,18,27,18
0.67,29,30,60,2,41,23
0.42,6,20,26,19,36,23
0.33,1,20,21,51,46,32
0.11,1,13,14,23,21,13
0.18,1,10,11,69,13,3
0.37,1,20,21,11,39,28
0.12,1,8,8,39,34,19
1,37,29,66,4,38,25
0.93,35,39,74,8,56,23
0.22,1,10,11,28,19,11
0.26,0,15,15,45,31,15
0.22,4,15,19,43,35,25
0.18,1,9,10,64,55,18
0.36,2,26,28,30,38,22
0.14,1,12,13,12,11,7
0.41,1,20,21,53,63,42
0.09,1,14,15,25,20,13
0.58,26,30,56,8,34,15
0.28,4,11,14,31,18,11
0.22,1,18,19,26,26,17
0.69,3,36,39,11,26,20
0.15,1,12,13,65,35,12
0.67,40,24,65,4,30,19
0.4,2,19,21,16,20,14
0.35,5,24,29,34,66,34
